subdivision,YEAR,JUN,JUL,AUG,SEP,JUN-SEP
ASSAM & MEGHALAYA,1943,517.1,394.9,417.9,365.9,1695.7
ASSAM & MEGHALAYA,1944,491.4,388.6,304.3,456.6,1640.8
ASSAM & MEGHALAYA,1945,501.2,507.4,497.2,282.6,1788.5
ASSAM & MEGHALAYA,1946,582.8,550,298.8,265.8,1697.5
ASSAM & MEGHALAYA,1947,487.2,571.9,287.9,362.6,1709.5
ASSAM & MEGHALAYA,1948,602.4,539.8,451.5,315.5,1909.1
ASSAM & MEGHALAYA,1949,688.3,445.1,460,390.7,1984
ASSAM & MEGHALAYA,1950,564.6,390.5,489.1,201.6,1645.8
ASSAM & MEGHALAYA,1951,593,554.4,388.3,208.4,1744.1
ASSAM & MEGHALAYA,1952,403.1,577.8,467.1,343.4,1791.4
ASSAM & MEGHALAYA,1953,407.8,462.9,285.3,454.9,1611
ASSAM & MEGHALAYA,1954,597.4,575.7,426.1,217.9,1817.1
ASSAM & MEGHALAYA,1955,548.4,567.7,419,284.5,1819.5
ASSAM & MEGHALAYA,1956,718.4,443.3,383.2,172.6,1717.5
ASSAM & MEGHALAYA,1957,445.1,407.7,370,208.9,1431.7
ASSAM & MEGHALAYA,1958,392.9,366.5,547.8,282.8,1590
ASSAM & MEGHALAYA,1959,514.4,366.2,256.2,287.1,1423.8
ASSAM & MEGHALAYA,1960,457.8,559,352.6,485.7,1855.1
ASSAM & MEGHALAYA,1961,344.5,359.5,353.4,230.4,1287.8
ASSAM & MEGHALAYA,1962,608.7,344.2,518.3,138.3,1609.6
ASSAM & MEGHALAYA,1963,605.9,562.4,435.9,211.8,1815.9
ASSAM & MEGHALAYA,1964,557.4,605,344.7,326,1833.1
ASSAM & MEGHALAYA,1965,505.8,405.6,425.4,306.7,1643.5
ASSAM & MEGHALAYA,1966,789.5,510,523.4,249.1,2072
ASSAM & MEGHALAYA,1967,397.4,495.2,261,303.5,1457.1
ASSAM & MEGHALAYA,1968,594.5,488.8,347.6,231.8,1662.8
ASSAM & MEGHALAYA,1969,567.4,468,450.9,184.8,1671.1
ASSAM & MEGHALAYA,1970,666.4,480.8,391.6,402,1940.8
ASSAM & MEGHALAYA,1971,442.8,408.9,481.3,231.5,1564.5
ASSAM & MEGHALAYA,1972,583.7,443.2,273.8,228,1528.7
ASSAM & MEGHALAYA,1973,633.2,360.8,401.6,351.1,1746.7
ASSAM & MEGHALAYA,1974,634.7,793,515.4,436.9,2380
ASSAM & MEGHALAYA,1975,338.8,526.2,316.2,300.1,1481.3
ASSAM & MEGHALAYA,1976,502,392.6,356.7,148.8,1400.1
ASSAM & MEGHALAYA,1977,394.7,465.6,458.3,172.7,1491.2
ASSAM & MEGHALAYA,1978,491.4,441.5,251.8,272.3,1457
ASSAM & MEGHALAYA,1979,306.4,628.8,255.7,342,1532.9
ASSAM & MEGHALAYA,1980,389.5,453,411.2,266.1,1519.8
ASSAM & MEGHALAYA,1981,275,547.7,345.3,278.6,1446.6
ASSAM & MEGHALAYA,1982,520.3,551.8,380.2,294.9,1747.1
ASSAM & MEGHALAYA,1983,368.6,594.4,421.4,454,1838.5
ASSAM & MEGHALAYA,1984,481.6,1008.8,366.5,456.5,2313.4
ASSAM & MEGHALAYA,1985,501.7,735.6,358.2,340.3,1935.8
ASSAM & MEGHALAYA,1986,404.2,471.4,420.2,439.8,1735.6
ASSAM & MEGHALAYA,1987,540.6,775.7,441.4,452.7,2210.4
ASSAM & MEGHALAYA,1988,400.9,654.6,774,338.1,2167.5
ASSAM & MEGHALAYA,1989,488.3,759.2,271.7,425.8,1944.9
ASSAM & MEGHALAYA,1990,506.8,446.5,353.4,443.8,1750.5
ASSAM & MEGHALAYA,1991,516.3,426.4,389.6,431.5,1763.7
ASSAM & MEGHALAYA,1992,450.4,492.6,340.1,299.4,1582.5
ASSAM & MEGHALAYA,1993,614.6,586.3,475.1,302.8,1978.9
ASSAM & MEGHALAYA,1994,484.7,312.7,316.6,183.2,1297.2
ASSAM & MEGHALAYA,1995,672.3,564.6,547.6,405.6,2190.1
ASSAM & MEGHALAYA,1996,408.7,525.6,433.1,230.2,1597.6
ASSAM & MEGHALAYA,1997,570.2,519.9,314.4,375.4,1779.9
ASSAM & MEGHALAYA,1998,585.3,608.5,563,219.8,1976.6
ASSAM & MEGHALAYA,1999,446.7,627.7,529.1,216.1,1819.6
ASSAM & MEGHALAYA,2000,552.6,315.5,518.5,314,1700.6
ASSAM & MEGHALAYA,2001,393.4,445.5,301,274,1413.9
ASSAM & MEGHALAYA,2002,500.2,559.9,312.3,218.9,1591.2
ASSAM & MEGHALAYA,2003,573,481.2,299.7,249.6,1603.5
ASSAM & MEGHALAYA,2004,404.6,860,287.5,321.4,1873.5
ASSAM & MEGHALAYA,2005,377.8,465.7,463.9,163.5,1470.9
ASSAM & MEGHALAYA,2006,406.3,351.8,211.1,256.1,1225.4
ASSAM & MEGHALAYA,2007,493.4,682.6,312,501.2,1989.3
ASSAM & MEGHALAYA,2008,409.3,489.4,510.6,269.5,1678.8
ASSAM & MEGHALAYA,2009,320.8,425.3,519.8,191.6,1457.5
ASSAM & MEGHALAYA,2010,566.2,423.2,404.3,331.7,1725.4
ASSAM & MEGHALAYA,2011,333.4,407.9,302.2,233.3,1276.9
ASSAM & MEGHALAYA,2012,693.4,493.6,300.4,372,1859.4
ASSAM & MEGHALAYA,2013,331.2,364.8,332.8,250.5,1279.3
ASSAM & MEGHALAYA,2014,400.4,373.3,479.1,424.5,1677.3
ASSAM & MEGHALAYA,2015,572.6,303.8,593.8,280.4,1750.6
ASSAM & MEGHALAYA,2016,365.3,496.5,187.2,272.6,1321.6
ASSAM & MEGHALAYA,2017,490.8,428.4,477.5,342.4,1739.1
ASSAM & MEGHALAYA,2018,371.6,375.3,288.7,297,1332.5
ASSAM & MEGHALAYA,2019,406.7,665.8,207.9,336.9,1617.3
ASSAM & MEGHALAYA,2020,666.5,730.5,304.1,564.2,2265.2
ASSAM & MEGHALAYA,2021,477.8,366,434.8,166.7,1445.2
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1901,350,392.6,454.7,291.7,1489.1
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1902,467.7,411.1,325,346.5,1550.3
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1903,462.9,331.5,486.4,401.1,1681.9
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1904,478.1,458.1,441.1,397,1774.4
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1905,347.4,441.3,455.8,334.4,1578.9
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1906,436.4,498.3,411.2,428.2,1774.1
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1907,420.8,381,289,370.2,1461
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1908,367.4,545.4,403.7,323.5,1640
"NAGALAND, MANIPUR, MIZORAM, TRIPURA",1909,428.4,366.2,535.1,246,1575.6
